ISO3,NDC_INDC,TYPE_MAIN,TYPE_RECLASS,COVERAGE_SECTORS_NDCS,COVERAGE_SECTORS_CALC,ECONOMY_WIDE,COVERAGE_GASES_NDCS,COVERAGE_GASES_CALC,EMI_POP_GDP,BASEYEAR,INTENSITY_PERCAP_GDP,TARGETS,DECLINE_AFTER_YEAR,ENERGY_NDCS,IPPU_NDCS,AGRICULTURE_NDCS,LULUCF_NDCS,WASTE_NDCS,OTHER_NDCS,ENERGY_CALC,IPPU_CALC,AGRICULTURE_CALC,LULUCF_CALC,WASTE_CALC,OTHER_CALC,CO2_NDCS,CH4_NDCS,N2O_NDCS,HFCS_NDCS,PFCS_NDCS,SF6_NDCS,NF3_NDCS,CO2_CALC,CH4_CALC,N2O_CALC,HFCS_CALC,PFCS_CALC,SF6_CALC,NF3_CALC,ABS,RBY,RBU,ABU,REI,AEI
DMA,NDC,RBY,ABS,"{""YES"": [""Energy"", ""Waste""], ""NAN"": [""IPPU"", ""Agriculture"", ""LULUCF"", ""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Waste""], ""NO"": [""Agriculture"", ""LULUCF"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS""], ""NAN"": [""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS""], ""NO"": [""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""exclLU"": {""2014"": ""0.1645 MtCO2eq_SAR""}}}",2014,nan,"{""ABS"": {""exclLU"": {""conditional"": {""best"": {""2025"": ""0.100 MtCO2eq_SAR"", ""2030"": ""0.091 MtCO2eq_SAR""}}}}, ""RBY"": {""exclLU"": {""conditional"": {""best"": {""2025"": ""-39.2%"", ""2030"": ""-44.7%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,NAN,NAN,YES,NAN,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,NAN,NAN,NAN,YES,YES,YES,YES,NO,NO,NO,"{""ABS"": {""exclLU"": {""conditional"": {""best"": {""2025"": ""0.100 MtCO2eq_SAR"", ""2030"": ""0.091 MtCO2eq_SAR""}}}}}","{""RBY"": {""exclLU"": {""conditional"": {""best"": {""2025"": ""-39.2%"", ""2030"": ""-44.7%""}}}}}",,,,
DNK,NDC,RBY,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,1990,nan,"{""ABS"": NaN, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-55%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,"{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-55%""}}}}}",,,,
DOM,NDC,RBU,ABS,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""inclLU"": {""2010"": ""36.000 MtCO2eq_AR4"", ""2030"": ""51.000 MtCO2eq_AR4""}}}",,nan,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""47.430 MtCO2eq""}}, ""conditional"": {""best"": {""2030"": ""37.148 MtCO2eq""}}}}, ""RBY"": NaN, ""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-7%""}}, ""conditional"": {""best"": {""2030"": ""-27.16%""}}}}, ""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-3.570 MtCO2eq""}}, ""conditional"": {""best"": {""2030"": ""-13.85 MtCO2eq""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""47.430 MtCO2eq""}}, ""conditional"": {""best"": {""2030"": ""37.148 MtCO2eq""}}}}}",,"{""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-7%""}}, ""conditional"": {""best"": {""2030"": ""-27.16%""}}}}}","{""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-3.570 MtCO2eq""}}, ""conditional"": {""best"": {""2030"": ""-13.85 MtCO2eq""}}}}}",,
DZA,NDC,RBU,RBU,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-7%""}}, ""conditional"": {""best"": {""2030"": ""-22%""}}}}, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,,,"{""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-7%""}}, ""conditional"": {""best"": {""2030"": ""-22%""}}}}}",,,
ECU,NDC,RBU,ABS,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""inclLU"": {""2012"": ""80.62716 MtCO2eq_SAR""}, ""exclLU"": {""2010"": ""56.038 MtCO2eq_SAR"", ""2020"": ""71.641 MtCO2eq_SAR"", ""2025"": ""76.904 MtCO2eq_SAR""}, ""onlyLU"": {""2008"": ""43.75 MtCO2eq_SAR"", ""2025"": ""43.75 MtCO2eq_SAR""}}}",,nan,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""67.774 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""60.824 MtCO2eq_SAR""}}}, ""inclLU"": {""unconditional"": {""best"": {""2025"": ""109.774 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""95.824 MtCO2eq_SAR""}}}}, ""RBY"": NaN, ""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-9%""}}, ""conditional"": {""best"": {""2025"": ""-20.9%""}}}, ""inclLU"": {""unconditional"": {""best"": {""2025"": ""-10%""}}, ""conditional"": {""best"": {""2025"": ""-26%""}}}}, ""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-9.130 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""-16.080 MtCO2eq_SAR""}}}, ""inclLU"": {""unconditional"": {""best"": {""2025"": ""-10.880 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""-24.830 MtCO2eq_SAR""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""67.774 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""60.824 MtCO2eq_SAR""}}}, ""inclLU"": {""unconditional"": {""best"": {""2025"": ""109.774 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""95.824 MtCO2eq_SAR""}}}}}",,"{""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-9%""}}, ""conditional"": {""best"": {""2025"": ""-20.9%""}}}, ""inclLU"": {""unconditional"": {""best"": {""2025"": ""-10%""}}, ""conditional"": {""best"": {""2025"": ""-26%""}}}}}","{""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-9.130 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""-16.080 MtCO2eq_SAR""}}}, ""inclLU"": {""unconditional"": {""best"": {""2025"": ""-10.880 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""-24.830 MtCO2eq_SAR""}}}}}",,
EGY,NDC,NGT,NGT,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""NAN"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,NAN,NAN,NAN,NAN,NAN,NAN,NAN,YES,YES,YES,NAN,NAN,NAN,NAN,,,,,,
ERI,NDC,RBU,ABS,"{""YES"": [""Energy"", ""IPPU"", ""LULUCF"", ""Waste""], ""NAN"": [""Agriculture"", ""Other""]}","{""YES"": [""Energy""], ""NO"": [""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""exclLU"": {""2010"": ""4.429 MtCO2eq_AR4"", ""2020"": ""7.401 MtCO2eq_AR4"", ""2025"": ""9.379 MtCO2eq_AR4"", ""2030"": ""11.466 MtCO2eq_AR4""}}}",,nan,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""9.003 MtCO2eq_AR4"", ""2030"": ""10.484 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2025"": ""7.861 MtCO2eq_AR4"", ""2030"": ""8.314 MtCO2eq_AR4""}}}}, ""RBY"": NaN, ""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-6.2%"", ""2030"": ""-12%""}}, ""conditional"": {""best"": {""2025"": ""-24.9%"", ""2030"": ""-38.5%""}}}}, ""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-0.387 MtCO2eq_AR4"", ""2030"": ""-0.982 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2025"": ""-1.518 MtCO2eq_AR4"", ""2030"": ""-3.152 MtCO2eq_AR4""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,NAN,YES,YES,NAN,YES,NO,NO,NO,NO,NAN,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""9.003 MtCO2eq_AR4"", ""2030"": ""10.484 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2025"": ""7.861 MtCO2eq_AR4"", ""2030"": ""8.314 MtCO2eq_AR4""}}}}}",,"{""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-6.2%"", ""2030"": ""-12%""}}, ""conditional"": {""best"": {""2025"": ""-24.9%"", ""2030"": ""-38.5%""}}}}}","{""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-0.387 MtCO2eq_AR4"", ""2030"": ""-0.982 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2025"": ""-1.518 MtCO2eq_AR4"", ""2030"": ""-3.152 MtCO2eq_AR4""}}}}}",,
ESP,NDC,RBY,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,1990,nan,"{""ABS"": NaN, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-55%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,"{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-55%""}}}}}",,,,
EST,NDC,RBY,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,1990,nan,"{""ABS"": NaN, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-55%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,"{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-55%""}}}}}",,,,
ETH,NDC,RBU,ABS,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""inclLU"": {""2025"": ""358.2 MtCO2eq_AR4"", ""2030"": ""412.1 MtCO2eq_AR4""}, ""onlyLU"": {""2025"": ""-1.02 MtCO2eq_AR4"", ""2030"": ""-0.27 MtCO2eq_AR4""}, ""exclLU"": {""2025"": ""359.18 MtCO2eq_AR4"", ""2030"": ""412.33 MtCO2eq_AR4""}}}",,nan,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""360.85 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2030"": ""191.73 MtCO2eq_AR4""}}}, ""exclLU"": {""unconditional"": {""best"": {""2030"": ""364.70 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2030"": ""212.72 MtCO2eq_AR4""}}}}, ""RBY"": NaN, ""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-12.4%""}}, ""conditional"": {""best"": {""2030"": ""-53.5%""}}}, ""exclLU"": {""unconditional"": {""best"": {""2030"": ""-11.6%""}}, ""conditional"": {""best"": {""2030"": ""-48.4%""}}}}, ""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-51.1 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2030"": ""-220.59 MtCO2eq_AR4""}}}, ""exclLU"": {""unconditional"": {""best"": {""2030"": ""-47.63 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2030"": ""-199.61 MtCO2eq_AR4""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""360.85 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2030"": ""191.73 MtCO2eq_AR4""}}}, ""exclLU"": {""unconditional"": {""best"": {""2030"": ""364.70 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2030"": ""212.72 MtCO2eq_AR4""}}}}}",,"{""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-12.4%""}}, ""conditional"": {""best"": {""2030"": ""-53.5%""}}}, ""exclLU"": {""unconditional"": {""best"": {""2030"": ""-11.6%""}}, ""conditional"": {""best"": {""2030"": ""-48.4%""}}}}}","{""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-51.1 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2030"": ""-220.59 MtCO2eq_AR4""}}}, ""exclLU"": {""unconditional"": {""best"": {""2030"": ""-47.63 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2030"": ""-199.61 MtCO2eq_AR4""}}}}}",,
EU27,NDC,RBY,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,1990,nan,"{""ABS"": NaN, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-55%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,"{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-55%""}}}}}",,,,
FIN,NDC,RBY,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,1990,nan,"{""ABS"": NaN, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-55%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,"{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-55%""}}}}}",,,,
FJI,NDC,RBU,RBU,"{""YES"": [""Energy""], ""NAN"": [""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}","{""YES"": [""Energy""], ""NO"": [""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-10%""}}, ""conditional"": {""best"": {""2030"": ""-30%""}}}}, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,NAN,NAN,NAN,NAN,YES,NO,NO,NO,NO,NO,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,,,"{""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-10%""}}, ""conditional"": {""best"": {""2030"": ""-30%""}}}}}",,,
FRA,NDC,RBY,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,1990,nan,"{""ABS"": NaN, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-55%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,"{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-55%""}}}}}",,,,
FSM,NDC,RBY,ABS,"{""YES"": [""Energy""], ""NAN"": [""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""Waste"", ""Other""], ""NO"": [""LULUCF""]}",nan,"{""YES"": [""CO2""], ""NAN"": [""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2""], ""NO"": [""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""exclLU"": {""2000"": ""0.150 MtCO2eq_AR4""}}}",2000,nan,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""0.108 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2025"": ""0.094 MtCO2eq_AR4""}}}}, ""RBY"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-28%""}}, ""conditional"": {""best"": {""2025"": ""-35%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,NAN,NAN,NAN,NAN,YES,YES,YES,NO,YES,YES,YES,NAN,NAN,NAN,NAN,NAN,NAN,YES,NO,NO,NO,NO,NO,NO,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""0.108 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2025"": ""0.094 MtCO2eq_AR4""}}}}}","{""RBY"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-28%""}}, ""conditional"": {""best"": {""2025"": ""-35%""}}}}}",,,,
GAB,NDC,RBU,RBU,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""exclLU"": {""2000"": ""6.162 MtCO2eq""}, ""inclLU"": {""2000"": ""-57.992 MtCO2eq""}, ""onlyLU"": {""2000"": ""-64.154 MtCO2eq""}}}",,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": {""inclLU"": {""conditional"": {""best"": {""2025"": ""-50%""}}}}, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,,,"{""RBU"": {""inclLU"": {""conditional"": {""best"": {""2025"": ""-50%""}}}}}",,,
GBR,NDC,RBY,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,1990,nan,"{""ABS"": NaN, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-68%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,"{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-68%""}}}}}",,,,
