,ssps_filled,lulucf_source
ABW,"SSP2BLMESGB for CO2 filled with mean over available SSPs (SSP1BLIMAGE, SSP3BLAIMCGE, SSP4BLGCAM4).
SSP5BLREMMP for CO2 filled with mean over available SSPs (SSP1BLIMAGE, SSP3BLAIMCGE, SSP4BLGCAM4).
SSP2BLMESGB for CH4 filled with mean over available SSPs (SSP1BLIMAGE, SSP3BLAIMCGE, SSP4BLGCAM4).
SSP5BLREMMP for CH4 filled with mean over available SSPs (SSP1BLIMAGE, SSP3BLAIMCGE, SSP4BLGCAM4).
SSP2BLMESGB for N2O filled with mean over available SSPs (SSP1BLIMAGE, SSP3BLAIMCGE, SSP4BLGCAM4).
SSP5BLREMMP for N2O filled with mean over available SSPs (SSP1BLIMAGE, SSP3BLAIMCGE, SSP4BLGCAM4).
SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for KYOTOGHG filled with mean over available SSPs (SSP1BLIMAGE, SSP3BLAIMCGE, SSP4BLGCAM4).
SSP5BLREMMP for KYOTOGHG filled with mean over available SSPs (SSP1BLIMAGE, SSP3BLAIMCGE, SSP4BLGCAM4).
SSP2BLMESGB for POP filled with mean over available SSPs (SSP1BLIMAGE, SSP3BLAIMCGE, SSP4BLGCAM4).
SSP5BLREMMP for POP filled with mean over available SSPs (SSP1BLIMAGE, SSP3BLAIMCGE, SSP4BLGCAM4).
SSP2BLMESGB for GDPPPP filled with mean over available SSPs (SSP1BLIMAGE, SSP3BLAIMCGE, SSP4BLGCAM4).
SSP5BLREMMP for GDPPPP filled with mean over available SSPs (SSP1BLIMAGE, SSP3BLAIMCGE, SSP4BLGCAM4).
",
AFG,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
AGO,,FAO2019BI
AIA,"SSP1BLIMAGE for CO2 filled with mean over available SSPs ().
SSP1BLIMAGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CO2 filled with mean over available SSPs ().
SSP2BLMESGB for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CO2 filled with mean over available SSPs ().
SSP3BLAIMCGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CO2 filled with mean over available SSPs ().
SSP4BLGCAM4 for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CO2 filled with mean over available SSPs ().
SSP5BLREMMP for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for CH4 filled with mean over available SSPs ().
SSP1BLIMAGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CH4 filled with mean over available SSPs ().
SSP2BLMESGB for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CH4 filled with mean over available SSPs ().
SSP3BLAIMCGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CH4 filled with mean over available SSPs ().
SSP4BLGCAM4 for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CH4 filled with mean over available SSPs ().
SSP5BLREMMP for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for N2O filled with mean over available SSPs ().
SSP1BLIMAGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for N2O filled with mean over available SSPs ().
SSP2BLMESGB for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for N2O filled with mean over available SSPs ().
SSP3BLAIMCGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for N2O filled with mean over available SSPs ().
SSP4BLGCAM4 for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for N2O filled with mean over available SSPs ().
SSP5BLREMMP for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for KYOTOGHG filled with mean over available SSPs ().
SSP1BLIMAGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for KYOTOGHG filled with mean over available SSPs ().
SSP2BLMESGB for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for KYOTOGHG filled with mean over available SSPs ().
SSP3BLAIMCGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for KYOTOGHG filled with mean over available SSPs ().
SSP4BLGCAM4 for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for KYOTOGHG filled with mean over available SSPs ().
SSP5BLREMMP for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for POP filled with mean over available SSPs ().
SSP1BLIMAGE for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for POP filled with mean over available SSPs ().
SSP2BLMESGB for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for POP filled with mean over available SSPs ().
SSP3BLAIMCGE for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for POP filled with mean over available SSPs ().
SSP4BLGCAM4 for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for POP filled with mean over available SSPs ().
SSP5BLREMMP for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for GDPPPP filled with mean over available SSPs ().
SSP1BLIMAGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for GDPPPP filled with mean over available SSPs ().
SSP2BLMESGB for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for GDPPPP filled with mean over available SSPs ().
SSP3BLAIMCGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for GDPPPP filled with mean over available SSPs ().
SSP4BLGCAM4 for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for GDPPPP filled with mean over available SSPs ().
SSP5BLREMMP for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
ALB,,UNFCCC2019BI
AND,"SSP1BLIMAGE for CO2 filled with mean over available SSPs ().
SSP1BLIMAGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CO2 filled with mean over available SSPs ().
SSP2BLMESGB for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CO2 filled with mean over available SSPs ().
SSP3BLAIMCGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CO2 filled with mean over available SSPs ().
SSP4BLGCAM4 for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CO2 filled with mean over available SSPs ().
SSP5BLREMMP for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for CH4 filled with mean over available SSPs ().
SSP1BLIMAGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CH4 filled with mean over available SSPs ().
SSP2BLMESGB for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CH4 filled with mean over available SSPs ().
SSP3BLAIMCGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CH4 filled with mean over available SSPs ().
SSP4BLGCAM4 for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CH4 filled with mean over available SSPs ().
SSP5BLREMMP for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for N2O filled with mean over available SSPs ().
SSP1BLIMAGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for N2O filled with mean over available SSPs ().
SSP2BLMESGB for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for N2O filled with mean over available SSPs ().
SSP3BLAIMCGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for N2O filled with mean over available SSPs ().
SSP4BLGCAM4 for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for N2O filled with mean over available SSPs ().
SSP5BLREMMP for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for KYOTOGHG filled with mean over available SSPs ().
SSP1BLIMAGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for KYOTOGHG filled with mean over available SSPs ().
SSP2BLMESGB for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for KYOTOGHG filled with mean over available SSPs ().
SSP3BLAIMCGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for KYOTOGHG filled with mean over available SSPs ().
SSP4BLGCAM4 for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for KYOTOGHG filled with mean over available SSPs ().
SSP5BLREMMP for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for POP filled with mean over available SSPs ().
SSP1BLIMAGE for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for POP filled with mean over available SSPs ().
SSP2BLMESGB for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for POP filled with mean over available SSPs ().
SSP3BLAIMCGE for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for POP filled with mean over available SSPs ().
SSP4BLGCAM4 for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for POP filled with mean over available SSPs ().
SSP5BLREMMP for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for GDPPPP filled with mean over available SSPs ().
SSP1BLIMAGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for GDPPPP filled with mean over available SSPs ().
SSP2BLMESGB for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for GDPPPP filled with mean over available SSPs ().
SSP3BLAIMCGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for GDPPPP filled with mean over available SSPs ().
SSP4BLGCAM4 for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for GDPPPP filled with mean over available SSPs ().
SSP5BLREMMP for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",BUR3IPCC2006I
ANT,"SSP1BLIMAGE for CO2 filled with mean over available SSPs ().
SSP1BLIMAGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CO2 filled with mean over available SSPs ().
SSP2BLMESGB for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CO2 filled with mean over available SSPs ().
SSP3BLAIMCGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CO2 filled with mean over available SSPs ().
SSP4BLGCAM4 for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CO2 filled with mean over available SSPs ().
SSP5BLREMMP for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for CH4 filled with mean over available SSPs ().
SSP1BLIMAGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CH4 filled with mean over available SSPs ().
SSP2BLMESGB for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CH4 filled with mean over available SSPs ().
SSP3BLAIMCGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CH4 filled with mean over available SSPs ().
SSP4BLGCAM4 for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CH4 filled with mean over available SSPs ().
SSP5BLREMMP for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for N2O filled with mean over available SSPs ().
SSP1BLIMAGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for N2O filled with mean over available SSPs ().
SSP2BLMESGB for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for N2O filled with mean over available SSPs ().
SSP3BLAIMCGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for N2O filled with mean over available SSPs ().
SSP4BLGCAM4 for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for N2O filled with mean over available SSPs ().
SSP5BLREMMP for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for KYOTOGHG filled with mean over available SSPs ().
SSP1BLIMAGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for KYOTOGHG filled with mean over available SSPs ().
SSP2BLMESGB for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for KYOTOGHG filled with mean over available SSPs ().
SSP3BLAIMCGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for KYOTOGHG filled with mean over available SSPs ().
SSP4BLGCAM4 for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for KYOTOGHG filled with mean over available SSPs ().
SSP5BLREMMP for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for POP filled with mean over available SSPs ().
SSP1BLIMAGE for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for POP filled with mean over available SSPs ().
SSP2BLMESGB for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for POP filled with mean over available SSPs ().
SSP3BLAIMCGE for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for POP filled with mean over available SSPs ().
SSP4BLGCAM4 for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for POP filled with mean over available SSPs ().
SSP5BLREMMP for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for GDPPPP filled with mean over available SSPs ().
SSP1BLIMAGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for GDPPPP filled with mean over available SSPs ().
SSP2BLMESGB for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for GDPPPP filled with mean over available SSPs ().
SSP3BLAIMCGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for GDPPPP filled with mean over available SSPs ().
SSP4BLGCAM4 for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for GDPPPP filled with mean over available SSPs ().
SSP5BLREMMP for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
ARE,,UNFCCC2019BI
ARG,,UNFCCC2019BI
ARM,,UNFCCC2019BI
