cat,IPCMLULUCF
clss,TOTAL
ent,CH4
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
scen,HISTORY
srce,BUR2IPCC2006I
tablename,CH4AR4_IPCMLULUCF_TOTAL_NET_HISTORY_BUR2IPCC2006I
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
COL,0.02025,0.0205,0.019525,0.0217,0.022325,0.02225,0.0225,0.003125,0.0016425,0.0016425,0.016975,0.018925,0.0224,0.019025,0.0185,0.018625,0.0191,0.021875,0.01995,0.01625,0.0041,0.003275,0.002725,0.00275,0.00275,nan,nan
IDN,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.56514,0.56593,0.60514,0.52432,1.1403,1.2231,1.1191,1.1441,1.1615,1.4141,1.3861,1.4904,1.7133,3.1262,2.5701,7.9045,2.6071
MDA,0.0026525,0.0024,0.0021975000000000002,0.0029475,0.001655,0.00224,0.0015400000000000001,0.0026875,0.0024725000000000003,0.0023899999999999998,0.0009125,0.0012699999999999999,0.000265,5.9999999999999995e-05,0.0002,0.0002475,0.00025,0.0015175,0.0007700000000000001,0.000315,0.00014,0.00016,0.0011675000000000001,0.0008725,0.00011750000000000001,0.0006525000000000001,0.0003575
ZAF,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.46658,0.45196000000000003,0.43733999999999995,0.42272,0.40811,0.39349,0.37887,0.36425,0.36425,0.34963,0.33502,0.3204,0.30578,0.29116,nan,nan,nan
