code,value
y,1.00E-24
yocto,1.00E-24
z,1.00E-21
zepto,1.00E-21
a,1.00E-18
atto,1.00E-18
f,1.00E-15
femto,1.00E-15
p,1.00E-12
pico,1.00E-12
n,1.00E-09
nano,1.00E-09
micro,1.00E-06
mu,1.00E-06
m,1.00E-03
milli,1.00E-03
c,1.00E-02
centi,1.00E-02
d,1.00E-01
deci,1.00E-01
1,1.00E+00
One,1.00E+00
da,1.00E+01
deka,1.00E+01
Ten,1.00E+01
h,1.00E+02
hecto,1.00E+02
Hundred,1.00E+02
k,1.00E+03
kilo,1.00E+03
Thousand,1.00E+03
M,1.00E+06
mega,1.00E+06
Million,1.00E+06
Billion,1.00E+09
G,1.00E+09
giga,1.00E+09
T,1.00E+12
tera,1.00E+12
Trillion,1.00E+12
P,1.00E+15
peta,1.00E+15
Quadrillion,1.00E+15
E,1.00E+18
exa,1.00E+18
Quintillion,1.00E+18
Sextillion,1.00E+21
Z,1.00E+21
zetta,1.00E+21
Septillion,1.00E+24
Y,1.00E+24
yotta,1.00E+24
Octillion,1.00E+27
Nonillion,1.00E+30
Decillion,1.00E+33
Googol,1.00E+100
