ISO3,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,IPC1,IPC2,IPCMAG,IPC4,IPC5,IPCMLULUCF,CO2_IPC1,CO2_IPC2,CO2_IPCMAG,CO2_IPC4,CO2_IPC5,CO2_IPCMLULUCF,CH4_IPC1,CH4_IPC2,CH4_IPCMAG,CH4_IPC4,CH4_IPC5,CH4_IPCMLULUCF,N2O_IPC1,N2O_IPC2,N2O_IPCMAG,N2O_IPC4,N2O_IPC5,N2O_IPCMLULUCF,HFCS_IPC2,PFCS_IPC2,SF6_IPC2,NF3_IPC2
BEN,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES/NO,YES,YES/NO,YES/NO,YES,YES,YES/NO,YES,YES/NO,YES/NO,YES,YES,YES/NO,YES,YES/NO,YES/NO,YES,NO,NO,NO,NO
BES,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
BFA,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
BGD,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES,YES,YES,NO/YES
BGR,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
BHR,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES/NO,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES/NO,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES/NO,NO,NO,NO,NO
BHS,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES,NO/YES,NO/YES
BIH,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES,NO/YES,NO/YES
BLR,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES/NO,YES,YES,YES,YES,YES,YES/NO,YES,YES,YES,YES,YES,YES/NO,YES,YES,YES,NO/YES
BLZ,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,YES,YES/NO,YES/NO,YES,YES/NO,YES,YES,YES/NO,YES/NO,YES,YES/NO,YES,NO/YES,NO,NO,NO/YES,NO,NO/YES,NO,NO,NO,NO
BOL,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES/NO,YES,YES/NO,YES/NO,YES,YES,YES/NO,YES,YES/NO,YES/NO,YES,YES,YES/NO,YES,YES/NO,YES/NO,YES,NO,NO,NO,NO
BRA,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES
BRB,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,YES,NO/YES
BRN,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES,NO/YES,NO/YES
BTN,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES,NO/YES,NO/YES
BVT,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
BWA,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES/NO,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES/NO,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES/NO,NO,NO,NO,NO
CAF,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES,NO/YES,NO/YES
CAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
CHE,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
CHL,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
CHN,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES
CIV,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES/NO,YES,YES,YES,YES,YES,YES/NO,YES,YES,YES,YES,YES,YES/NO,NO/YES,NO/YES,NO/YES,NO/YES
CMR,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES/NO,YES,YES,YES,YES,YES,YES/NO,YES,YES,YES,YES,YES,YES/NO,NO/YES,NO/YES,NO/YES,NO/YES
COD,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES/NO,YES,YES/NO,YES/NO,YES,YES,YES/NO,YES,YES/NO,YES/NO,YES,YES,YES/NO,YES,YES/NO,YES/NO,YES,NO,NO,NO,NO
COG,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES,NO/YES,NO/YES
COK,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES/NO,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES/NO,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES/NO,NO,NO,NO,NO
COL,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES
COM,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
CPV,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,YES/NO,YES,YES,YES/NO,YES,YES,YES/NO,YES,YES,YES/NO,YES,YES,YES/NO,YES,YES,YES/NO,YES,NO,NO,NO,NO
CRI,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,YES,NO/YES
CUB,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES/NO,YES,YES/NO,YES/NO,YES,YES,YES/NO,YES,YES/NO,YES/NO,YES,YES,YES/NO,YES,YES/NO,YES/NO,YES,NO,NO,NO,NO
CUW,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
CYP,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
CZE,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
DEU,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
DJI,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES/NO,YES,YES,YES,YES,YES,YES/NO,YES,YES,YES,YES,YES,YES/NO,NO/YES,NO/YES,NO/YES,NO/YES
DMA,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES/NO,YES,YES/NO,YES/NO,YES,YES,YES/NO,YES,YES/NO,YES/NO,YES,YES,YES/NO,YES,YES/NO,YES/NO,YES,NO/YES,NO/YES,NO/YES
DNK,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
DOM,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES,NO/YES,NO/YES
DZA,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES,NO/YES,NO/YES
ECU,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES,NO/YES,NO/YES
EGY,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
ERI,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NAN,NO,YES,YES/NO,YES/NO,YES/NO,YES/NAN,YES/NO,YES,YES/NO,YES/NO,YES/NO,YES/NAN,YES/NO,YES,YES/NO,YES/NO,YES/NO,YES/NAN,YES/NO,NO,NO,NO,NO
ESP,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
EST,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
ETH,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES,NO/YES,NO/YES
FIN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
FJI,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES/NO,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES/NO,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES/NO,NO,NO,NO,NO
FRA,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
FSM,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES/NO,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO,NO/YES,NO/YES,NO/YES,NO/YES
GAB,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES,NO/YES,NO/YES
GBR,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
GEO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES/NO,YES,YES,YES,YES,YES,YES/NO,YES,YES,YES,YES,YES,YES/NO,YES,YES,YES,NO/YES
GHA,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES,NO/YES
GIN,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES/NO,YES,YES/NO,YES/NO,YES/NO,YES,YES/NO,YES,YES/NO,YES/NO,YES/NO,YES,YES/NO,YES,YES/NO,YES/NO,YES/NO,NO,NO,NO,NO
GMB,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES/NO,YES,YES,YES,YES,YES,YES/NO,YES,YES,YES,YES,YES,YES/NO,YES,YES,YES,YES
GNB,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES,NO,NO,NO,NO
GNQ,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES,NO/YES,NO/YES
GRC,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
GRD,YES,YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,YES,NO/YES,NO/YES,NO/YES
GTM,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES,NO/YES,NO/YES
GUY,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES,NO/YES,NO,NO,NO,NO,NO/YES,NO/YES,NO,NO,NO,NO,NO/YES,NO,NO,NO,NO
HKG,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
HND,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES/NO,YES,YES,YES,YES,YES,YES/NO,YES,YES,YES,YES,YES,YES/NO,NO/YES,NO/YES,NO/YES,NO/YES
HRV,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
HTI,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,YES/NO,YES,YES,YES/NO,YES,YES,YES/NO,YES,YES,YES/NO,YES,YES,YES/NO,YES,YES,YES/NO,YES,NO,NO,NO,NO
HUN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
IDN,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES,NO/YES,NO/YES
IND,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,YES,YES,YES/NO,YES,YES/NO,YES,YES,YES,YES/NO,YES,YES/NO,YES,YES,YES,YES/NO,YES,YES/NO,YES,NO/YES,NO/YES,NO/YES,NO/YES
IOT,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
IRL,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
IRN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
IRQ,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES
ISL,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
ISR,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES/NO,YES,YES,YES,YES,YES,YES/NO,YES,YES,YES,YES,YES,YES/NO,YES,YES,YES,NO/YES
ITA,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
JAM,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES,NO,NO,NO,NO
JOR,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES
JPN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
KAZ,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES
KEN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
KGZ,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
KHM,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES,NO,NO,NO,NO
KIR,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES/NO,NO/YES,NO,NO,NO,NO,NO,NO/YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
KNA,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES,NO/YES
KOR,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES
KWT,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES/NO,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES/NO,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES/NO,NO,NO,NO,NO
LAO,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES,YES,YES/NO,YES/NO,YES/NO,YES/NO,YES,NO,NO,NO,NO
LBN,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES,NO/YES,NO/YES
