r,g,b
0.0014616,0.00046613,0.013866
0.0022673,0.0012699,0.01857
0.003299,0.0022493,0.024239
0.0045469,0.0033918,0.030909
0.0060055,0.0046919,0.038558
0.0076758,0.0061361,0.046836
0.0095605,0.0077134,0.055143
0.011663,0.0094168,0.06346
0.013995,0.011225,0.071862
0.016561,0.013136,0.080282
0.019373,0.015133,0.088767
0.022447,0.017199,0.097327
0.025793,0.019331,0.10593
0.029432,0.021503,0.11462
0.033385,0.023702,0.1234
0.037668,0.025921,0.13223
0.042253,0.028139,0.14114
0.046915,0.030324,0.15016
0.051644,0.032474,0.15925
0.056449,0.034569,0.16841
0.06134,0.03659,0.17764
0.066331,0.038504,0.18696
0.071429,0.040294,0.19635
0.076637,0.041905,0.2058
0.081962,0.043328,0.21529
0.087411,0.044556,0.22481
0.09299,0.045583,0.23436
0.098702,0.046402,0.2439
0.10455,0.047008,0.25343
0.11054,0.047399,0.26291
0.11666,0.047574,0.27232
0.12291,0.047536,0.28162
0.12928,0.047293,0.29079
0.13578,0.046856,0.29978
0.14238,0.046242,0.30855
0.14907,0.045468,0.31709
0.15585,0.044559,0.32534
0.16269,0.043554,0.33328
0.16958,0.042489,0.34087
0.17649,0.041402,0.34811
0.18343,0.040329,0.35497
0.19037,0.039309,0.36145
0.1973,0.0384,0.36753
0.20421,0.037632,0.37324
0.2111,0.03703,0.37856
0.21795,0.036615,0.38352
0.22476,0.036405,0.38813
0.23154,0.036405,0.3924
0.23827,0.036621,0.39635
0.24497,0.037055,0.40001
0.25162,0.037705,0.40338
0.25823,0.038571,0.40649
0.26481,0.039647,0.40935
0.27135,0.040922,0.41198
0.27785,0.042353,0.41439
0.28432,0.043933,0.41661
0.29076,0.045644,0.41864
0.29718,0.04747,0.42049
0.30357,0.049396,0.42218
0.30994,0.051407,0.42372
0.31628,0.05349,0.42512
0.32261,0.055634,0.42638
0.32892,0.057827,0.42751
0.33522,0.06006,0.42852
0.3415,0.062325,0.42942
0.34777,0.064616,0.43022
0.35403,0.066925,0.43091
0.36028,0.069247,0.4315
0.36653,0.071579,0.43199
0.37277,0.073915,0.4324
0.379,0.076253,0.43272
0.38523,0.078591,0.43295
0.39145,0.080927,0.43311
0.39767,0.083257,0.43318
0.40389,0.08558,0.43318
0.41011,0.087896,0.4331
0.41633,0.090203,0.43294
0.42255,0.092501,0.43271
0.42877,0.09479,0.43241
0.43499,0.097069,0.43204
0.44121,0.099338,0.43159
0.44743,0.1016,0.43108
0.45365,0.10385,0.4305
0.45987,0.10609,0.42985
0.4661,0.10832,0.42912
0.47233,0.11055,0.42833
0.47856,0.11276,0.42748
0.48479,0.11497,0.42655
0.49102,0.11718,0.42555
0.49726,0.11938,0.42449
0.50349,0.12158,0.42336
0.50973,0.12377,0.42216
0.51597,0.12596,0.42089
0.52221,0.12815,0.41955
0.52844,0.13034,0.41814
0.53468,0.13253,0.41667
0.54092,0.13473,0.41512
0.54716,0.13693,0.41351
0.55339,0.13913,0.41183
0.55962,0.14135,0.41008
0.56585,0.14357,0.40826
0.57208,0.1458,0.40637
0.5783,0.14804,0.40441
0.58452,0.15029,0.40238
0.59073,0.15256,0.40029
0.59694,0.15485,0.39812
0.60314,0.15715,0.39589
0.60933,0.15947,0.39359
0.61551,0.16182,0.39122
0.62169,0.16418,0.38878
0.62785,0.16657,0.38628
0.634,0.16899,0.3837
0.64014,0.17144,0.38106
0.64626,0.17391,0.37836
0.65237,0.17642,0.37559
0.65846,0.17896,0.37275
0.66454,0.18154,0.36985
0.6706,0.18415,0.36688
0.67664,0.18681,0.36385
0.68266,0.1895,0.36076
0.68865,0.19224,0.3576
0.69463,0.19502,0.35439
0.70058,0.19785,0.35111
0.7065,0.20073,0.34778
0.7124,0.20366,0.34438
0.71826,0.20664,0.34093
0.7241,0.20967,0.33742
0.72991,0.21276,0.33386
0.73568,0.21591,0.33025
0.74142,0.21911,0.32658
0.74713,0.22238,0.32286
0.75279,0.22571,0.31909
0.75842,0.2291,0.31527
0.76401,0.23255,0.3114
0.76956,0.23608,0.30749
0.77506,0.23967,0.30353
0.78052,0.24333,0.29952
0.78593,0.24706,0.29548
0.79129,0.25086,0.29139
0.79661,0.25473,0.28726
0.80187,0.25867,0.2831
0.80708,0.26269,0.2789
0.81224,0.26679,0.27466
0.81734,0.27095,0.27039
0.82239,0.2752,0.26609
0.82737,0.27952,0.26175
0.8323,0.28391,0.25738
0.83717,0.28838,0.25299
0.84197,0.29293,0.24856
0.84671,0.29756,0.24411
0.85138,0.30226,0.23964
0.85599,0.30704,0.23513
0.86053,0.31189,0.23061
0.86501,0.31682,0.22606
0.86941,0.32183,0.22148
0.87374,0.32691,0.21689
0.878,0.33206,0.21227
0.88219,0.33729,0.20763
0.8863,0.34259,0.20297
0.89034,0.34796,0.19829
0.8943,0.3534,0.19358
0.89819,0.35891,0.18886
0.902,0.36449,0.18412
0.90574,0.37014,0.17935
0.90939,0.37586,0.17456
0.91297,0.38164,0.16975
0.91646,0.38748,0.16492
0.91988,0.39339,0.16007
0.92321,0.39936,0.15519
0.92647,0.40539,0.15029
0.92964,0.41148,0.14537
0.93274,0.41763,0.14042
0.93575,0.42383,0.13544
0.93868,0.43009,0.13044
0.94152,0.43641,0.12541
0.94428,0.44277,0.12035
0.94696,0.44919,0.11527
0.94956,0.45566,0.11016
0.95208,0.46218,0.10503
0.95451,0.46874,0.099874
0.95685,0.47536,0.094695
0.95911,0.48201,0.089499
0.96129,0.48872,0.084289
0.96339,0.49546,0.079073
0.9654,0.50225,0.073859
0.96732,0.50908,0.068659
0.96916,0.51595,0.063488
0.97092,0.52285,0.058367
0.97259,0.5298,0.053324
0.97418,0.53678,0.048392
0.97568,0.5438,0.043618
0.97709,0.55085,0.03905
0.97842,0.55794,0.034931
0.97967,0.56506,0.031409
0.98082,0.57221,0.028508
0.9819,0.57939,0.02625
0.98288,0.58661,0.024661
0.98378,0.59385,0.02377
0.98459,0.60112,0.023606
0.98532,0.60842,0.024202
0.98595,0.61575,0.025592
0.9865,0.6231,0.027814
0.98696,0.63049,0.030908
0.98734,0.63789,0.034916
0.98762,0.64532,0.039886
0.98782,0.65277,0.045581
0.98793,0.66025,0.05175
0.98794,0.66775,0.058329
0.98787,0.67527,0.065257
0.98771,0.68281,0.072489
0.98746,0.69037,0.07999
0.98712,0.69794,0.087731
0.98669,0.70554,0.095694
0.98617,0.71315,0.10386
0.98557,0.72078,0.11223
0.98487,0.72843,0.12078
0.98408,0.73609,0.12953
0.9832,0.74376,0.13845
0.98223,0.75144,0.14756
0.98117,0.75913,0.15686
0.98003,0.76684,0.16635
0.97881,0.77455,0.17604
0.9775,0.78226,0.18592
0.97611,0.78997,0.19602
0.97464,0.79769,0.20633
0.97309,0.80541,0.21688
