r,g,b
0.050383,0.029803,0.52797
0.063536,0.028426,0.53312
0.075353,0.027206,0.53801
0.086222,0.026125,0.54266
0.096379,0.025165,0.5471
0.10598,0.024309,0.55137
0.11512,0.023556,0.55547
0.1239,0.022878,0.55942
0.13238,0.022258,0.56325
0.1406,0.021687,0.56696
0.14861,0.021154,0.57056
0.15642,0.020651,0.57407
0.16407,0.020171,0.57748
0.17157,0.019706,0.58081
0.17895,0.019252,0.58405
0.18621,0.018803,0.58723
0.19337,0.018354,0.59033
0.20045,0.017902,0.59336
0.20743,0.017442,0.59633
0.21435,0.016973,0.59924
0.2212,0.016497,0.60208
0.22798,0.016007,0.60487
0.23471,0.015502,0.60759
0.2414,0.014979,0.61026
0.24803,0.014439,0.61287
0.25463,0.013882,0.61542
0.26118,0.013308,0.61791
0.2677,0.012716,0.62035
0.27419,0.012109,0.62272
0.28065,0.011488,0.62504
0.28708,0.010855,0.62729
0.29348,0.010213,0.62949
0.29986,0.0095608,0.63162
0.30621,0.0089019,0.63369
0.31254,0.008239,0.6357
0.31886,0.0075755,0.63764
0.32515,0.0069149,0.63951
0.33143,0.0062611,0.64132
0.33768,0.0056183,0.64305
0.34392,0.0049905,0.64471
0.35015,0.004382,0.6463
0.35636,0.0037978,0.64781
0.36255,0.0032432,0.64924
0.36873,0.0027237,0.6506
0.3749,0.0022451,0.65188
0.38105,0.0018136,0.65307
0.38718,0.0014345,0.65418
0.3933,0.0011139,0.6552
0.39941,0.00085942,0.65613
0.4055,0.00067809,0.65698
0.41158,0.0005771,0.65773
0.41764,0.00056385,0.65839
0.42369,0.0006459,0.65896
0.42972,0.00083101,0.65943
0.43573,0.0011271,0.6598
0.44173,0.0015398,0.66007
0.44771,0.0020795,0.66024
0.45368,0.0027547,0.66031
0.45962,0.0035737,0.66028
0.46555,0.0045452,0.66014
0.47146,0.0056776,0.6599
0.47734,0.0069796,0.65955
0.48321,0.0084598,0.65909
0.48905,0.010127,0.65853
0.49488,0.01199,0.65786
0.50068,0.014055,0.65709
0.50645,0.016333,0.6562
0.51221,0.018833,0.65521
0.51793,0.021563,0.65411
0.52363,0.024532,0.6529
0.52931,0.027747,0.65159
0.53495,0.031217,0.65017
0.54057,0.03495,0.64864
0.54616,0.038954,0.64701
0.55172,0.043136,0.64528
0.55724,0.047331,0.64344
0.56274,0.051545,0.64151
0.5682,0.055778,0.63948
0.57363,0.060028,0.63735
0.57903,0.064296,0.63513
0.58439,0.068579,0.63281
0.58972,0.072878,0.63041
0.59501,0.07719,0.62792
0.60027,0.081516,0.62534
0.60549,0.085854,0.62269
0.61067,0.090204,0.61995
0.61581,0.094564,0.61714
0.62092,0.098934,0.61426
0.62599,0.10331,0.61131
0.63102,0.1077,0.60829
0.63601,0.11209,0.60521
0.64096,0.11649,0.60206
0.64587,0.1209,0.59887
0.65075,0.12531,0.59562
0.65558,0.12972,0.59232
0.66037,0.13414,0.58897
0.66513,0.13857,0.58558
0.66985,0.14299,0.58215
0.67452,0.14742,0.57869
0.67916,0.15185,0.57519
0.68376,0.15628,0.57166
0.68832,0.16071,0.5681
0.69284,0.16514,0.56452
0.69732,0.16957,0.56092
0.70177,0.17401,0.5573
